step,time_s,ncon,A_heel_n,A_mid_n,A_toe_n,U_heel_n,U_mid_n,U_toe_n,A_total_n,U_total_n,A_heel,A_mid,A_toe,U_heel,U_mid,U_toe,A_contact,U_contact
70,0.7000000000000001,7,0.0,0.9053129721468564,228.07015872880632,307.35055163632427,95.02931189446919,87.60934396666615,228.97547170095316,489.9892074974596,0,0,23,31,10,9,1,1
71,0.71,7,0.0,0.925736925811289,269.5565165806541,264.0918940786125,81.851586567889,81.04307878479473,270.4822535064654,426.9865594312962,0,0,28,27,8,8,1,1
72,0.72,7,0.0,0.9428317959468816,302.6704048146517,226.66888168005775,70.8294270661461,69.93301262863011,303.61323661059856,367.43132137483394,0,0,31,23,7,7,1,1
73,0.73,3,0.0,0.9408013484567177,324.3389363092083,215.65505591917946,78.47525293722794,49.95770968303351,325.279737657665,344.0880185394409,0,0,33,22,8,5,1,1
74,0.74,2,0.0,1.028095072874093,359.8230014915003,235.46633319453645,63.317695615433365,0.0,360.85109656437436,298.7840288099698,0,0,37,24,6,0,1,1
75,0.75,2,0.0,1.1469705234630514,398.45584217609894,233.22911254252708,62.68052777153685,0.0,399.602812699562,295.90964031406395,0,0,41,24,6,0,1,1
76,0.76,2,0.0,1.297691611045217,441.319494382736,225.86421825953747,60.66896938389059,0.0,442.6171859937812,286.53318764342805,0,0,45,23,6,0,1,1
77,0.77,4,0.0,1.625502074529016,517.3712894178011,211.78991250209071,56.863439344129674,0.0,518.9967914923301,268.6533518462204,0,0,53,22,6,0,1,1
78,0.78,4,0.0,1.8925028109983952,580.0617017716046,194.50281456526548,52.20436344586423,0.0,581.954204582603,246.7071780111297,0,0,59,20,5,0,1,1
79,0.79,4,0.0,2.150966692074275,642.1523987548296,170.60145917959915,45.775340395072476,0.0,644.3033654469039,216.37679957467162,0,0,66,17,5,0,1,1
80,0.8,2,0.0,2.4327727214052226,645.2924276998078,140.7143207034875,37.74863441837943,0.0,647.725200421213,178.4629551218669,0,0,66,14,4,0,1,1
81,0.81,2,0.0,2.6121423798536383,680.8385870910706,109.69384870450283,29.42039896064729,0.0,683.4507294709242,139.11424766515012,0,0,70,11,3,0,1,1
82,0.8200000000000001,2,0.0,2.8122514413974433,725.8983346964914,99.30767375956394,26.629264241289025,0.0,728.7105861378888,125.93693800085296,0,0,74,10,3,0,1,1
83,0.8300000000000001,2,0.0,2.94081974455786,761.3076970854578,90.7141394454605,24.321000994157206,0.0,764.2485168300157,115.0351404396177,0,0,78,9,2,0,1,1
84,0.84,2,0.0,2.904213868086381,762.2832311796183,85.54122090168345,22.930395344064404,0.0,765.1874450477046,108.47161624574785,0,0,78,9,2,0,1,1
85,0.85,2,0.0,4.314562768032399,760.9951647975773,91.24179466506841,24.45636168550103,0.0,765.3097275656097,115.69815635056943,0,0,78,9,3,0,1,1
86,0.86,2,0.0,3.866256922767577,712.5014433833978,112.81821106987165,30.239474027368814,0.0,716.3677003061654,143.05768509724047,0,0,73,12,3,0,1,1
87,0.87,2,0.0,3.3022493879871684,643.4762772295608,138.8946024216151,37.23231908453852,0.0,646.778526617548,176.12692150615362,0,0,66,14,4,0,1,1
88,0.88,1,0.0,0.0,0.0,169.0914398947057,45.33426352907092,0.0,0.0,214.4257034237766,0,0,0,17,5,0,0,1
89,0.89,1,0.0,0.0,0.0,194.7390116329582,52.22141103290888,0.0,0.0,246.9604226658671,0,0,0,20,5,0,0,1
90,0.9,1,0.0,0.0,0.0,209.28445174119219,56.13263379638038,0.0,0.0,265.4170855375726,0,0,0,21,6,0,0,1
91,0.91,1,0.0,0.0,0.0,209.0571124675712,56.08128099843413,0.0,0.0,265.1383934660053,0,0,0,21,6,0,0,1
92,0.92,1,0.0,0.0,0.0,210.4411689392572,56.46162866496857,0.0,0.0,266.9027976042258,0,0,0,22,6,0,0,1
93,0.93,1,0.0,0.0,0.0,207.00586743665895,55.54883586478202,0.0,0.0,262.55470330144095,0,0,0,21,6,0,0,1
94,0.9400000000000001,1,0.0,0.0,0.0,193.72779048843773,51.993575226796445,0.0,0.0,245.72136571523419,0,0,0,20,5,0,0,1
95,0.9500000000000001,1,0.0,0.0,0.0,175.38213887272374,47.07441032678865,0.0,0.0,222.45654919951238,0,0,0,18,5,0,0,1
96,0.96,2,0.0,0.0,0.0,282.31150033407323,76.71007804608874,96.18218673404098,0.0,455.20376511420295,0,0,0,29,8,10,0,1
97,0.97,2,0.0,0.0,0.0,238.35891454356667,64.7188554846511,75.97324620312855,0.0,379.0510162313463,0,0,0,24,7,8,0,1
98,0.98,2,0.0,0.0,0.0,182.29648495741355,49.47795488093151,56.50712602601615,0.0,288.28156586436126,0,0,0,19,5,6,0,1
99,0.99,2,0.0,0.0,0.0,171.0009269066117,46.46766541591051,59.09936057997553,0.0,276.5679529024978,0,0,0,18,5,6,0,1
100,1.0,2,0.0,0.0,0.0,140.642080134512,38.36333074487167,63.9588949774409,0.0,242.96430585682458,0,0,0,14,4,7,0,1
101,1.01,2,0.0,0.0,0.0,105.21782832046553,28.910919580231067,69.66590586096378,0.0,203.79465376166036,0,0,0,11,3,7,0,1
102,1.02,2,0.0,0.0,0.0,102.8645960692237,28.296276133512638,71.39504571215858,0.0,202.5559179148949,0,0,0,11,3,7,0,1
103,1.03,2,0.0,0.0,0.0,90.02199641207176,24.868210785786275,72.7633029571687,0.0,187.65351015502674,0,0,0,9,3,7,0,1
104,1.04,2,0.0,0.0,0.0,0.0,3.113486421829739,67.82649506194143,0.0,70.93998148377116,0,0,0,0,0,7,0,1
105,1.05,2,0.0,0.0,0.0,0.0,3.39891848066322,70.22645604518542,0.0,73.62537452584864,0,0,0,0,0,7,0,1
106,1.06,3,755.2548350340809,157.83684637005697,0.0,0.0,3.1086781950710294,72.78049001288609,913.0916814041378,75.88916820795713,77,16,0,0,0,7,1,1
107,1.07,3,721.0841288652651,154.11749826459445,0.0,0.0,2.5244653115931524,76.21915819913028,875.2016271298596,78.74362351072342,74,16,0,0,0,8,1,1
108,1.08,4,636.1986169431731,137.59806891204983,0.0,0.0,1.043179670685321,88.72411480140781,773.7966858552229,89.76729447209313,65,14,0,0,0,9,1,1
109,1.09,4,532.8216775545154,115.44101895955177,0.0,0.0,0.9918720096605136,92.98130795847055,648.2626965140672,93.97317996813106,55,12,0,0,0,10,1,1
110,1.1,4,447.2554738250438,96.58193065638879,0.0,0.0,1.0188979678641723,92.38136734735899,543.8374044814326,93.40026531522317,46,10,0,0,0,9,1,1
111,1.11,2,485.763601256222,128.95572694742154,0.0,0.0,0.5672799391190805,93.84256841425334,614.7193282036435,94.40984835337241,50,13,0,0,0,10,1,1
112,1.12,2,437.7806635833615,115.79841748726093,0.0,0.0,0.6782728032035785,105.11021549298142,553.5790810706225,105.78848829618501,45,12,0,0,0,11,1,1
113,1.1300000000000001,2,402.4365201551801,106.14276411312026,0.0,0.0,0.8467169777641235,120.11681723575711,508.5792842683004,120.96353421352123,41,11,0,0,0,12,1,1
114,1.1400000000000001,3,569.6377852974978,217.7181138317398,165.00022451159293,0.0,1.1059253453126232,138.81577817310125,952.3561236408304,139.92170351841386,58,22,17,0,0,14,1,1
115,1.1500000000000001,4,504.5614517716906,188.34000282622912,135.39962774246095,0.0,0.9805900653081576,160.86789435890242,828.3010823403806,161.84848442421057,52,19,14,0,0,16,1,1
116,1.16,5,462.79669839540753,155.4833662540478,122.86000713275686,0.0,1.4859578222190242,199.1788905133439,741.1400717822122,200.66484833556294,47,16,13,0,0,20,1,1
117,1.17,5,423.7013294038756,139.5637869998108,112.21119274920372,0.0,2.2757709806264703,245.73778772215198,675.4763091528902,248.01355870277845,43,14,11,0,0,25,1,1
118,1.18,8,394.16916511151567,131.0632092013722,112.51008108361913,0.0,3.3939353324681303,322.7353426683582,637.742455396507,326.12927800082633,40,13,12,0,0,33,1,1
119,1.19,9,373.6142232828009,126.12365918088412,123.90834662633432,0.0,4.486355151018682,376.65731944852695,623.6462290900192,381.14367459954565,38,13,13,0,0,39,1,1
120,1.2,9,354.7696255629952,121.40509970112608,134.2035659592042,0.0,5.0535189159336955,400.3134676054328,610.3782912233255,405.36698652136647,36,12,14,0,1,41,1,1
121,1.21,9,348.5924000504475,121.37134972175505,140.87111108845815,0.0,4.595261511369037,378.3721201064007,610.8348608606607,382.9673816177697,36,12,14,0,0,39,1,1
122,1.22,9,350.1548272948882,124.88933948214957,143.98606054701628,0.0,3.6588153509817882,334.0949044182365,619.0302273240541,337.7537197692183,36,13,15,0,0,34,1,1
123,1.23,9,334.0167541680638,118.89072880813588,141.1246342396796,0.0,2.9376171418957377,302.7039295586192,594.0321172158792,305.64154670051494,34,12,14,0,0,31,1,1
124,1.24,9,281.54933333175825,100.69691397171918,131.07161942514742,0.0,2.234819154668802,274.1971264874774,513.3178667286248,276.4319456421462,29,10,13,0,0,28,1,1
125,1.25,9,212.8026811366059,77.54488050721365,116.38567382178002,0.0,2.055036305389657,296.0646060326159,406.7332354655996,298.1196423380056,22,8,12,0,0,30,1,1
126,1.26,9,157.90710911760996,58.47935399109653,103.93573502306427,0.0,1.8926302206347485,320.6544095275811,320.32219813177073,322.54703974821587,16,6,11,0,0,33,1,1
127,1.27,9,116.40139010811203,44.90254468540071,92.71483530016678,0.0,1.7441467010885314,346.03389109733575,254.0187700936795,347.7780377984243,12,5,9,0,0,35,1,1
128,1.28,9,106.86356581314972,45.910785393599845,90.21419514808593,0.0,1.6686124153953767,381.3239051868271,242.9885463548355,382.9925176022225,11,5,9,0,0,39,1,1
129,1.29,9,118.52521732811383,49.29648894078789,90.91101230215224,0.0,1.6854059133880968,431.007134996615,258.73271857105397,432.69254091000306,12,5,9,0,0,44,1,1
130,1.3,8,139.84156672262,41.47669514703041,89.33754654504796,0.0,1.7334057785871413,483.8213898094237,270.6558084146984,485.55479558801085,14,4,9,0,0,50,1,1
131,1.31,8,147.40205783491774,43.594381493808655,91.81912953326257,0.0,1.7974887649154105,531.0567792977879,282.815568861989,532.8542680627033,15,4,9,0,0,54,1,1
132,1.32,7,149.16306340142953,44.03355779414376,94.15935548210142,0.0,1.9009099067482929,576.4109659822738,287.35597667767473,578.3118758890221,15,5,10,0,0,59,1,1
133,1.33,7,148.95284416724257,43.96312854491606,97.59572295507397,0.0,2.0735493509563905,627.5675953610302,290.51169566723263,629.6411447119865,15,5,10,0,0,64,1,1
134,1.34,6,0.0,7.779635231691902,93.14137396208537,0.0,2.3083879748794924,685.5525423963521,100.92100919377727,687.8609303712316,0,1,10,0,0,70,1,1
135,1.35,6,0.0,39.904670917268774,98.35029880916375,0.0,2.5251292507004903,728.2849089375474,138.25496972643253,730.8100381882479,0,4,10,0,0,75,1,1
136,1.36,5,0.0,2.0018145545308608,80.80273656945886,0.0,2.660322623874398,745.7378037974172,82.80455112398973,748.3981264212916,0,0,8,0,0,76,1,1
137,1.37,3,0.0,0.0,0.0,0.0,2.6994392221651786,741.829268360869,0.0,744.5287075830342,0,0,0,0,0,76,0,1
138,1.3800000000000001,1,0.0,0.0,0.0,0.0,2.7129500946016045,672.2831304678641,0.0,674.9960805624657,0,0,0,0,0,69,0,1
139,1.3900000000000001,1,0.0,0.0,0.0,0.0,2.6831383802373794,670.890202901382,0.0,673.5733412816194,0,0,0,0,0,69,0,1
140,1.4000000000000001,1,0.0,0.0,0.0,0.0,2.650199703132418,681.0463123135704,0.0,683.6965120167029,0,0,0,0,0,70,0,1
141,1.41,1,0.0,0.0,0.0,0.0,2.4908764780004424,666.9583891304319,0.0,669.4492656084324,0,0,0,0,0,68,0,1
142,1.42,1,0.0,0.0,0.0,0.0,2.2214728456341692,626.1992159447697,0.0,628.4206887904038,0,0,0,0,0,64,0,1
143,1.43,1,0.0,0.0,0.0,0.0,3.0636408922334035,592.2610887843591,0.0,595.3247296765925,0,0,0,0,0,61,0,1
144,1.44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
145,1.45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
146,1.46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
147,1.47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
148,1.48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
149,1.49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
150,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
151,1.51,1,0.0,0.5288636662349122,52.75441148661368,0.0,0.0,0.0,53.28327515284859,0.0,0,0,5,0,0,0,1,0
152,1.52,1,0.0,0.4907632077625699,48.75180553940643,0.0,0.0,0.0,49.242568747169,0.0,0,0,5,0,0,0,1,0
153,1.53,2,0.0,1.0325470803383405,45.665308833191645,0.0,0.0,0.0,46.697855913529985,0.0,0,0,5,0,0,0,1,0
154,1.54,3,0.0,0.8420315852289263,39.77773325957648,0.0,0.0,0.0,40.6197648448054,0.0,0,0,4,0,0,0,1,0
155,1.55,3,0.0,0.8211462734571362,53.23291588495637,0.0,0.0,0.0,54.05406215841351,0.0,0,0,5,0,0,0,1,0
156,1.56,3,0.0,1.1197124654848323,67.18661799792304,0.0,0.0,0.0,68.30633046340787,0.0,0,0,7,0,0,0,1,0
157,1.57,1,0.0,0.7320829713596526,73.93087408998362,0.0,0.0,0.0,74.66295706134328,0.0,0,0,8,0,0,0,1,0
158,1.58,2,0.0,1.8176462771884072,81.27473929393183,0.0,0.0,0.0,83.09238557112023,0.0,0,0,8,0,0,0,1,0
159,1.59,2,0.0,2.5743448621470466,87.55302892580491,0.0,0.0,0.0,90.12737378795195,0.0,0,0,9,0,0,0,1,0
160,1.6,2,0.0,3.042295181504791,94.82803531599166,0.0,0.0,0.0,97.87033049749644,0.0,0,0,10,0,0,0,1,0
161,1.61,3,0.0,3.78107058768254,106.04758424396002,0.0,0.0,0.0,109.82865483164255,0.0,0,0,11,0,0,0,1,0
162,1.62,3,0.0,4.772065274045066,120.4606713127785,0.0,0.0,0.0,125.23273658682356,0.0,0,0,12,0,0,0,1,0
163,1.6300000000000001,3,0.0,5.828413783225354,136.3122027216767,0.0,0.0,0.0,142.14061650490206,0.0,0,1,14,0,0,0,1,0
164,1.6400000000000001,4,0.0,6.5144309571601315,151.19457564761382,368.3741198349587,77.20569818692665,0.0,157.70900660477395,445.5798180218854,0,1,15,38,8,0,1,1
165,1.6500000000000001,4,0.0,6.7777462609630765,164.9483105916509,364.93121058261585,77.47043010827271,0.0,171.726056852614,442.40164069088854,0,1,17,37,8,0,1,1
166,1.6600000000000001,4,0.0,6.528216679929983,177.99403623646333,348.2252697940956,74.29739380660698,0.0,184.5222529163933,422.5226636007026,0,1,18,36,8,0,1,1
167,1.67,4,0.0,5.194488294978922,186.27422623638938,321.7771589381512,68.69447239988932,0.0,191.4687145313683,390.47163133804054,0,1,19,33,7,0,1,1
168,1.68,2,0.0,1.0753551214216142,177.1721389214853,287.9328363068151,61.413600000637594,0.0,178.2474940429069,349.3464363074527,0,0,18,29,6,0,1,1
169,1.69,2,0.0,1.0970377443438417,172.55173821890992,248.2550566396563,52.88514805112901,0.0,173.64877596325377,301.1402046907853,0,0,18,25,5,0,1,1
170,1.7,2,0.0,1.1186431108944326,165.6064663341312,315.7829406231566,85.70834233082829,0.0,166.72510944502562,401.49128295398486,0,0,17,32,9,0,1,1
171,1.71,2,0.0,1.2202459216519155,166.28330123789576,336.7367131469259,91.31279007588446,0.0,167.50354715954768,428.04950322281036,0,0,17,34,9,0,1,1
172,1.72,2,0.0,1.409695865336662,172.6843159460934,354.6975357150052,96.11145931197075,0.0,174.09401181143005,450.80899502697594,0,0,18,36,10,0,1,1
173,1.73,2,0.0,1.0875563326647144,177.9754757869489,379.32045455827614,102.72004629749128,0.0,179.0630321196136,482.0405008557674,0,0,18,39,11,0,1,1
174,1.74,2,0.0,1.3583121331563086,187.64541171691425,414.7194040262528,112.2534127002702,0.0,189.00372385007057,526.972816726523,0,0,19,42,11,0,1,1
175,1.75,2,0.0,1.6584740807509728,191.857415320941,455.82910156482944,123.32490214285282,0.0,193.51588940169196,579.1540037076823,0,0,20,47,13,0,1,1
