step,time_s,ncon,A_heel_n,A_mid_n,A_toe_n,U_heel_n,U_mid_n,U_toe_n,A_total_n,U_total_n,A_heel,A_mid,A_toe,U_heel,U_mid,U_toe,A_contact,U_contact
58,0.58,6,326.42293495121856,111.35567319255946,91.73429171722765,0.0,4.2163216708098545,378.81443010140816,529.5128998610056,383.030751772218,1024,1024,939,0,43,1024,1,1
59,0.59,7,318.1221331673634,102.313915959788,105.69559584329988,0.0,5.006784029804155,412.7933351571888,526.1316449704514,417.80011918699296,1024,1024,1024,0,51,1024,1,1
60,0.6,8,308.9563020634653,99.94525279372078,110.63890619302268,0.0,4.964196118585452,409.0705801510736,519.5404610502087,414.03477626965906,1024,1023,1024,0,51,1024,1,1
61,0.61,8,292.42823991105126,95.31848976184328,108.4974945652166,0.0,4.031353499788884,371.4471100124384,496.24422423811114,375.4784635122273,1024,976,1024,0,41,1024,1,1
62,0.62,8,279.73758430550066,90.19241941972675,113.57647595423526,0.0,3.214897785235158,352.12686345201223,483.50647967946264,355.3417612372474,1024,924,1024,0,33,1024,1,1
63,0.63,8,260.20922663500227,81.30686042918965,114.8250197866692,0.0,2.6438096480339213,348.48585674244447,456.34110685086114,351.1296663904784,1024,833,1024,0,27,1024,1,1
64,0.64,8,246.72611653639322,73.92910988721087,114.02804763763285,0.0,2.210593813130998,353.48409861505394,434.68327406123694,355.6946924281849,1024,757,1024,0,23,1024,1,1
65,0.65,8,233.21322213058536,67.98845063231111,109.96511033402257,0.0,1.868652708905638,365.27659697659294,411.16678309691906,367.1452496854986,1024,696,1024,0,19,1024,1,1
66,0.66,8,201.9334004158554,55.50314753012164,97.15932899919905,0.0,1.7042437085625777,395.87814506252437,354.5958769451761,397.5823887710869,1024,568,995,0,17,1024,1,1
67,0.67,8,147.8282610534732,41.101726849488486,88.16437949871116,0.0,1.70068061573331,449.33896118894995,277.0943674016728,451.03964180468324,1024,421,903,0,17,1024,1,1
68,0.68,8,143.63871543212585,40.68259833053062,90.40435443694152,0.0,1.770134892372123,509.4935406421891,274.725668199598,511.26367553456123,1024,417,926,0,18,1024,1,1
69,0.6900000000000001,7,149.85694393048848,42.219570392411754,92.96814166480354,0.0,1.8459806531049177,556.7274996457534,285.0446559877038,558.5734802988583,1024,432,952,0,19,1024,1,1
70,0.7000000000000001,7,145.8439543190873,40.81858142344801,91.20539760919543,0.0,1.9263034379537571,591.0940754509309,277.8679333517307,593.0203788888846,1024,418,934,0,20,1024,1,1
71,0.71,7,142.57370749561755,39.684926758094015,89.50671391002557,0.0,2.053251008258181,629.7181156798972,271.76534816373714,631.7713666881554,1024,406,917,0,21,1024,1,1
72,0.72,7,151.2066488672823,41.85915774588666,91.75837627275423,0.0,2.2508905141777613,681.657046578933,284.82418288592316,683.9079370931107,1024,429,940,0,23,1024,1,1
73,0.73,7,157.68321684899763,53.41844447145457,97.10805120534542,0.0,2.457889775899881,731.3959966049474,308.2097125257976,733.8538863808473,1024,547,994,0,25,1024,1,1
74,0.74,7,158.54241069604285,49.85884759163328,95.1493630785036,0.0,2.605673985618609,761.5594023226221,303.5506213661797,764.1650763082407,1024,511,974,0,27,1024,1,1
75,0.75,4,144.76199044277772,40.50692422503662,91.87960517110757,0.0,2.7051670285061413,706.8783314509701,277.1485198389219,709.5834984794762,1024,415,941,0,28,1024,1,1
76,0.76,3,118.52704041394186,32.533843128657374,72.47683103745108,0.0,2.754531689289947,720.6809517353947,223.5377145800503,723.4354834246847,1024,333,742,0,28,1024,1,1
77,0.77,2,81.84772399432974,21.959575066926543,0.0,0.0,2.754231819364212,726.850201031806,103.80729906125629,729.6044328511703,838,225,0,0,28,1024,1,1
78,0.78,2,55.71654315643528,14.946733255471164,0.0,0.0,2.6283015012375617,709.214296877779,70.66327641190644,711.8425983790166,571,153,0,0,27,1024,1,1
79,0.79,2,42.36552577051184,11.363946171041162,0.0,0.0,2.400489269944074,669.3579841544617,53.729471941553,671.7584734244058,434,116,0,0,25,1024,1,1
80,0.8,2,65.58932979562063,17.59198295886535,0.0,0.0,3.4198180017955484,643.2469323599016,83.18131275448599,646.6667503616972,672,180,0,0,35,1024,1,1
81,0.81,1,0.0,0.0,0.0,0.0,2.961761675749869,579.7177847261951,0.0,582.6795464019449,0,0,0,0,30,1024,0,1
82,0.8200000000000001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
83,0.8300000000000001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
84,0.84,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
85,0.85,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
86,0.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
87,0.87,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
88,0.88,1,0.0,0.4180462042498316,43.35066160882572,0.0,0.0,0.0,43.76870781307555,0.0,0,4,444,0,0,0,1,0
89,0.89,1,0.0,0.39722328444479466,41.12177622670678,0.0,0.0,0.0,41.51899951115157,0.0,0,4,421,0,0,0,1,0
90,0.9,1,0.0,0.35186327963960773,36.35448288048579,0.0,0.0,0.0,36.7063461601254,0.0,0,4,372,0,0,0,1,0
91,0.91,1,0.0,0.33125643675752175,34.163530261420824,0.0,0.0,0.0,34.494786698178345,0.0,0,3,350,0,0,0,1,0
92,0.92,1,0.0,0.44950634533335343,46.218778422104776,0.0,0.0,0.0,46.66828476743813,0.0,0,5,473,0,0,0,1,0
93,0.93,1,0.0,0.5674658704046194,58.17462704970008,0.0,0.0,0.0,58.742092920104696,0.0,0,6,596,0,0,0,1,0
94,0.9400000000000001,1,0.0,0.6710314540895331,68.57701175702275,0.0,0.0,0.0,69.24804321111228,0.0,0,7,702,0,0,0,1,0
95,0.9500000000000001,1,0.0,0.7487265595094035,76.2381284635624,0.0,0.0,0.0,76.98685502307181,0.0,0,8,781,0,0,0,1,0
96,0.96,1,0.0,0.8348474178510652,84.64350898799044,0.0,0.0,0.0,85.47835640584151,0.0,0,9,867,0,0,0,1,0
97,0.97,1,0.0,0.960499377438785,96.89151997116257,0.0,0.0,0.0,97.85201934860135,0.0,0,10,992,0,0,0,1,0
98,0.98,1,0.0,1.1190307614172472,112.1753677000856,0.0,0.0,0.0,113.29439846150285,0.0,0,11,1024,0,0,0,1,0
99,0.99,2,0.0,5.508802459951614,131.69864681862663,0.0,0.0,0.0,137.20744927857825,0.0,0,56,1024,0,0,0,1,0
100,1.0,2,0.0,7.414270327928859,144.08492589485326,0.0,0.0,0.0,151.4991962227821,0.0,0,76,1024,0,0,0,1,0
101,1.01,3,0.0,7.537117553012916,153.65490264687566,479.6395771551224,100.3477576193937,0.0,161.19202019988856,579.9873347745162,0,77,1024,1024,1024,0,1,1
102,1.02,3,0.0,7.955857851576347,166.99750338601928,471.16930207745344,100.6256676152606,0.0,174.95336123759563,571.7949696927141,0,81,1024,1024,1024,0,1,1
103,1.03,4,0.0,8.006654274422491,179.95010600378785,433.3608661132624,93.65280644886359,0.0,187.95676027821034,527.013672562126,0,82,1024,1024,959,0,1,1
104,1.04,4,0.0,6.981474096304215,188.124153653041,387.6742739221494,84.07982831748164,0.0,195.10562774934522,471.75410223963104,0,71,1024,1024,861,0,1,1
105,1.05,4,0.0,4.6928892219521865,189.98923881550738,346.58125007762527,75.02743765390944,0.0,194.68212803745956,421.6086877315347,0,48,1024,1024,768,0,1,1
106,1.06,2,0.0,1.0657505255256718,177.49950463474391,320.17348496675515,69.06802429240257,0.0,178.56525516026957,389.24150925915774,0,11,1024,1024,707,0,1,1
107,1.07,2,0.0,1.0815993876505752,172.84678184167618,311.7433676843087,67.01354221326447,0.0,173.92838122932676,378.75690989757317,0,11,1024,1024,686,0,1,1
108,1.08,2,0.0,1.0868915444580731,164.62069232478788,319.2332581553759,68.43141432359258,0.0,165.70758386924595,387.66467247896844,0,11,1024,1024,701,0,1,1
109,1.09,2,0.0,1.1361196593248735,159.59764751057745,413.99740972832313,112.9954769160416,0.0,160.7337671699023,526.9928866443647,0,12,1024,1024,1024,0,1,1
110,1.1,2,0.0,1.241429417078442,157.30768339534205,425.60603898736474,116.02234628435355,0.0,158.5491128124205,541.6283852717183,0,13,1024,1024,1024,0,1,1
111,1.11,2,0.0,0.8843080102863705,150.61032769086356,447.8615047343795,121.95912849766212,0.0,151.49463570114992,569.8206332320416,0,9,1024,1024,1024,0,1,1
112,1.12,4,0.0,0.9919611810165018,143.96276444278377,716.0642869534738,201.7471832383337,165.86595522405577,144.95472562380027,1083.6774254158634,0,10,1024,1024,1024,1024,1,1
113,1.1300000000000001,5,0.0,1.0348261065928936,126.81212453170924,743.1389586733227,209.13518995937918,158.59023441953056,127.84695063830213,1110.8643830522324,0,11,1024,1024,1024,1024,1,1
114,1.1400000000000001,9,0.0,0.7780469945779289,95.00614277556532,780.5181726556478,218.32019337761474,151.8648831004312,95.78418977014326,1150.7032491336938,0,8,973,1024,1024,1024,1,1
